customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_score_1,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
2520-SGTTA,Female,0,Yes    ,Yes       ,0,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.0,California,Ben Lomond            ,37.078873,-122.090386,23,Yes    ,Yes              ,4,Offer E,0,No             ,No            ,0.0,0,200.5,400.5,27,High,1,3,4,Resolved
9507-EXLTT,Female,0,Yes    ,No        ,1,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),79.35,California,Seaside               ,36.625114,-121.823565,30,Yes    ,Yes              ,2,Offer E,52,No             ,Yes           ,0.0,0,23.63,102.98,77,Low,7,1,8,Resolved
1518-OMDIK,Male  ,0,Yes    ,No        ,33,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,44.55,California,Rohnert Park          ,38.34719,-122.697822,23,Yes    ,Yes              ,6,Offer C,51,No             ,Yes           ,0.0,0,1600.17,3062.77,28,High,0,3,3,Resolved
7684-XSZIY,Male  ,0,Yes    ,Yes       ,72,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Bank transfer (automatic),24.3,California,Loomis                ,38.809175,-121.171375,53,Yes    ,Yes              ,3,Offer A,0,No             ,No            ,0.0,0,1470.2400000000002,3113.49,43,High,1,5,6,Resolved
4061-UKJWL,Male  ,0,No     ,No        ,3,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,45.45,California,San Francisco         ,37.7795,-122.419233,35,No     ,No               ,0,None   ,17,No             ,Yes           ,0.0,0,61.11,202.81,72,High,7,1,8,NotResolved
2324-AALNO,Female,0,No     ,No        ,48,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Bank transfer (automatic),24.55,California,Porterville           ,36.008958,-118.891593,63,No     ,No               ,0,Offer B,0,No             ,No            ,36.04,0,1140.48,2308.3900000000003,41,High,1,5,6,Resolved
6942-LBFDP,Female,0,No     ,No        ,2,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Mailed check             ,20.55,California,Bakersfield           ,35.559617,-118.925185,30,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,33.4,67.0,25,Medium,1,3,4,Resolved
8731-WBBMB,Female,0,Yes    ,No        ,26,Yes         ,No              ,DSL            ,Yes                ,Yes                ,Yes                ,Month-to-month,No              ,Bank transfer (automatic),81.9,California,San Diego             ,32.825086,-117.199424,26,Yes    ,Yes              ,7,None   ,48,Yes            ,Yes           ,44.86,0,291.98,2325.67,55,High,0,6,6,Resolved
6103-LIANB,Male  ,0,Yes    ,Yes       ,59,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,99.5,California,Westminster           ,33.752591,-117.993661,49,Yes    ,Yes              ,3,None   ,16,Yes            ,Yes           ,0.0,0,2424.3100000000004,8286.060000000001,35,High,1,4,5,Resolved
4803-AXVYP,Female,1,No     ,No        ,38,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,99.55,California,Butte City            ,39.449794,-121.936372,75,No     ,No               ,0,Offer C,2,No             ,Yes           ,0.0,0,1800.82,5535.07,91,Low,10,0,10,Resolved
6574-MCOEH,Female,0,Yes    ,Yes       ,33,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,79.15,California,Escondido             ,33.21846,-117.116916,47,Yes    ,Yes              ,2,None   ,18,Yes            ,No            ,0.0,20,1042.47,3593.87,73,High,7,1,8,NotResolved
2404-JIBFC,Female,0,Yes    ,Yes       ,55,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),85.1,California,Anaheim               ,33.818,-117.974404,37,Yes    ,Yes              ,1,None   ,52,Yes            ,Yes           ,0.0,0,461.4500000000001,5119.4,67,Medium,6,1,7,Resolved
3146-MSEGF,Female,1,Yes    ,Yes       ,72,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,88.05,California,Paramount             ,33.897122,-118.164432,71,Yes    ,Yes              ,1,Offer A,6,Yes            ,Yes           ,0.0,0,1474.56,7900.209999999999,8,Medium,1,1,2,Resolved
2259-OUUSZ,Male  ,0,No     ,No        ,7,No          ,No phone service,DSL            ,Yes                ,No                 ,No                 ,One year      ,Yes             ,Credit card (automatic)  ,35.5,California,San Diego             ,32.71346,-117.236378,28,No     ,No               ,0,Offer E,48,No             ,Yes           ,0.0,0,0.0,249.55,48,Medium,0,5,5,Resolved
2792-LSHWX,Female,0,No     ,No        ,1,Yes         ,No              ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,Yes             ,Mailed check             ,83.4,California,Fremont               ,37.555473,-122.080312,49,No     ,No               ,0,None   ,9,No             ,Yes           ,0.0,0,43.06,126.46,26,Medium,0,3,3,Resolved
7472-EQOAV,Male  ,1,Yes    ,Yes       ,71,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,One year      ,Yes             ,Bank transfer (automatic),86.7,California,Laguna Niguel         ,33.529047,-117.701175,76,Yes    ,Yes              ,5,Offer A,19,No             ,Yes           ,0.0,0,2141.36,8320.710000000001,44,Medium,0,5,5,Resolved
4057-FKCZK,Male  ,0,Yes    ,Yes       ,58,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,No                 ,Two year      ,No              ,Bank transfer (automatic),82.5,California,Prather               ,37.007238,-119.505661,40,Yes    ,Yes              ,1,None   ,24,No             ,Yes           ,0.0,0,1735.94,6563.99,25,Medium,0,3,3,Resolved
8777-MBMTS,Female,1,Yes    ,No        ,65,Yes         ,No              ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,105.85,California,West Covina           ,34.061634,-117.893169,65,Yes    ,Yes              ,10,Offer B,9,Yes            ,Yes           ,0.0,0,2371.85,9097.35,80,High,8,0,8,Resolved
7176-WRTNX,Male  ,0,No     ,No        ,70,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),114.95,California,Ventura               ,34.278697,-119.167798,51,No     ,No               ,0,Offer A,30,Yes            ,Yes           ,0.0,0,1024.1,8735.35,26,Medium,1,3,4,Resolved
9231-ZJYAM,Female,1,No     ,No        ,4,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Electronic check         ,78.85,California,Squaw Valley          ,36.719141,-119.202677,65,No     ,No               ,0,None   ,18,No             ,Yes           ,0.0,0,147.72,440.52,72,Medium,7,1,8,Resolved
0292-WEGCH,Female,0,Yes    ,Yes       ,54,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,86.2,California,Death Valley          ,36.27688,-117.033326,40,Yes    ,Yes              ,7,Offer B,12,Yes            ,Yes           ,0.0,0,233.82,4757.87,45,Medium,0,5,5,Resolved
5567-WSELE,Male  ,1,Yes    ,No        ,3,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,94.6,California,Richmond              ,37.945288,-122.383941,70,Yes    ,Yes              ,1,Offer E,27,No             ,Yes           ,0.0,0,96.93,376.48,87,Low,8,1,9,Resolved
4644-PIZRT,Male  ,0,Yes    ,Yes       ,17,Yes         ,Yes             ,DSL            ,No                 ,Yes                ,No                 ,One year      ,Yes             ,Bank transfer (automatic),70.35,California,Long Barn             ,38.109125,-120.078597,36,Yes    ,Yes              ,5,None   ,76,No             ,Yes           ,0.0,0,565.08,1766.73,35,Medium,0,4,4,Resolved
3793-MMFUH,Female,1,No     ,No        ,13,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,95.05,California,Davis                 ,38.544002,-121.685559,73,No     ,No               ,0,None   ,24,Yes            ,Yes           ,0.0,0,247.39,1537.39,90,Low,9,0,9,NotResolved
7148-XZPHA,Male  ,0,Yes    ,Yes       ,55,Yes         ,No              ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,79.4,California,Rancho Cordova        ,38.602723,-121.279913,43,Yes    ,Yes              ,9,None   ,53,No             ,Yes           ,0.0,0,739.75,4978.2,32,High,0,4,4,Resolved
0685-MLYYM,Female,1,No     ,No        ,2,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,70.75,California,Buena Park            ,33.845706,-118.012204,74,No     ,No               ,0,Offer E,21,No             ,Yes           ,0.0,0,19.72,174.57,96,Low,9,0,9,Resolved
2937-FTHUR,Female,0,No     ,Yes       ,18,Yes         ,Yes             ,DSL            ,No                 ,No                 ,Yes                ,Month-to-month,No              ,Electronic check         ,64.8,California,Cedar Glen            ,34.255203,-117.175654,45,No     ,No               ,0,Offer D,28,Yes            ,Yes           ,0.0,0,764.1,1930.8,37,High,1,4,5,Resolved
6869-FGJJC,Male  ,0,No     ,No        ,68,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,One year      ,No              ,Credit card (automatic)  ,79.6,California,Gazelle               ,41.411315,-122.697236,50,No     ,No               ,0,None   ,21,No             ,No            ,3.26,10,1260.04,6728.23,20,High,1,3,4,Resolved
0440-MOGPM,Female,0,No     ,No        ,41,Yes         ,Yes             ,DSL            ,No                 ,Yes                ,Yes                ,One year      ,Yes             ,Electronic check         ,80.55,California,Petaluma              ,38.235021,-122.557332,51,No     ,No               ,0,None   ,12,Yes            ,Yes           ,0.0,0,252.56,3516.46,29,Medium,1,3,4,Resolved
7929-SKFGK,Male  ,0,Yes    ,No        ,70,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Credit card (automatic)  ,114.3,California,Mentone               ,34.103578,-117.04054,23,Yes    ,Yes              ,10,Offer A,30,Yes            ,Yes           ,0.0,0,1517.6,9761.9,24,High,1,3,4,Resolved
8174-LNWMW,Female,0,No     ,No        ,31,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Credit card (automatic)  ,20.9,California,Tustin                ,33.738543,-117.785046,52,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,810.96,1500.31,46,High,1,5,6,Resolved
5309-TAIKL,Female,0,No     ,No        ,7,Yes         ,No              ,DSL            ,Yes                ,No                 ,Yes                ,Month-to-month,No              ,Bank transfer (automatic),62.8,California,Rio Linda             ,38.688764,-121.457596,42,No     ,No               ,0,None   ,21,Yes            ,Yes           ,0.0,0,58.03,476.33,46,High,1,5,6,Resolved
1624-WOIWJ,Female,0,No     ,No        ,10,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Mailed check             ,84.7,California,Nicasio               ,38.065359,-122.665566,40,No     ,No               ,0,None   ,18,No             ,Yes           ,12.81,0,456.9,1276.14,69,Low,6,0,6,Resolved
1013-QCWAM,Female,1,Yes    ,No        ,66,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,100.8,California,Garden Grove          ,33.786738,-117.982564,73,Yes    ,No               ,0,Offer A,20,No             ,Yes           ,0.0,0,1851.96,8542.71,32,High,0,4,4,Resolved
6437-UKHMV,Female,0,No     ,No        ,7,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Electronic check         ,79.7,California,Moreno Valley         ,33.970661,-117.255039,31,No     ,No               ,0,None   ,16,No             ,Yes           ,0.0,0,202.44,788.49,91,Low,9,0,9,Resolved
6115-ZTBFQ,Female,0,Yes    ,No        ,72,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Bank transfer (automatic),65.5,California,Alamo                 ,37.855717,-121.994813,56,Yes    ,Yes              ,6,None   ,4,Yes            ,Yes           ,0.0,0,0.0,4919.7,25,Medium,1,3,4,Resolved
0999-QXNSA,Male  ,1,No     ,Yes       ,7,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Mailed check             ,45.75,California,Los Angeles           ,34.089953,-118.294824,72,No     ,No               ,0,None   ,17,No             ,Yes           ,29.0,0,287.98,603.1800000000001,57,High,1,6,7,Resolved
6507-DTJZV,Male  ,0,No     ,Yes       ,13,Yes         ,No              ,DSL            ,No                 ,Yes                ,Yes                ,Month-to-month,No              ,Credit card (automatic)  ,66.4,California,Cardiff By The Sea    ,33.015866,-117.272254,50,No     ,No               ,0,Offer D,17,Yes            ,Yes           ,0.0,0,392.47,1224.22,43,High,0,5,5,Resolved
6496-JDSSB,Female,0,No     ,No        ,8,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),80.0,California,Oak Park              ,34.19225,-118.776874,24,No     ,No               ,0,None   ,73,No             ,Yes           ,0.0,0,319.36,943.96,22,High,0,3,3,Resolved
1810-BOHSY,Male  ,0,Yes    ,No        ,51,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,One year      ,Yes             ,Credit card (automatic)  ,96.4,California,Vacaville             ,38.333133,-121.920151,63,Yes    ,Yes              ,7,Offer B,8,Yes            ,Yes           ,0.0,0,1785.0,6696.05,26,Medium,0,3,3,Resolved
7593-XFKDI,Male  ,0,No     ,No        ,1,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,46.3,California,Los Angeles           ,34.085807,-118.206617,39,No     ,No               ,0,None   ,21,No             ,Yes           ,0.0,0,48.22,94.52,73,Low,7,0,7,Resolved
3043-SUDUA,Female,0,No     ,No        ,32,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Bank transfer (automatic),19.9,California,West Sacramento       ,38.592745,-121.540036,35,No     ,No               ,0,Offer C,0,No             ,No            ,0.0,0,496.96,1098.51,29,Medium,1,3,4,Resolved
6855-VLGOS,Male  ,0,Yes    ,Yes       ,72,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Electronic check         ,20.55,California,Guerneville           ,38.52576,-123.013347,51,Yes    ,Yes              ,5,None   ,0,No             ,No            ,0.0,0,2671.92,4104.47,41,High,0,5,5,Resolved
9909-IDLEK,Male  ,0,Yes    ,Yes       ,20,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,No                 ,Month-to-month,No              ,Mailed check             ,96.8,California,Malibu                ,34.074572,-118.831181,32,Yes    ,Yes              ,7,Offer D,23,No             ,Yes           ,0.0,0,841.2,2667.9,26,High,0,3,3,NotResolved
5447-VYTKW,Male  ,0,No     ,No        ,27,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,53.45,California,Los Angeles           ,34.037251,-118.423573,53,No     ,No               ,0,None   ,28,No             ,Yes           ,0.0,0,407.43,1868.88,75,Medium,7,0,7,Resolved
1935-IMVBB,Male  ,0,Yes    ,No        ,56,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,No              ,Mailed check             ,89.7,California,San Diego             ,32.741852,-117.243453,43,Yes    ,Yes              ,1,None   ,14,Yes            ,Yes           ,41.66,0,212.24,5123.53,49,High,1,5,6,Resolved
8623-TMRBY,Male  ,1,Yes    ,Yes       ,51,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,84.2,California,Chula Vista           ,32.605012,-116.97595,80,Yes    ,Yes              ,2,Offer B,22,No             ,Yes           ,0.0,0,2222.58,6368.63,74,Low,7,1,8,NotResolved
7599-FKVXZ,Male  ,0,Yes    ,No        ,42,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),106.15,California,South Pasadena        ,34.110444,-118.156957,54,Yes    ,Yes              ,1,None   ,21,Yes            ,Yes           ,0.0,0,101.22,4613.92,93,Low,9,0,9,NotResolved
2657-ALMWY,Female,1,Yes    ,No        ,26,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,No              ,Electronic check         ,84.95,California,Simi Valley           ,34.269449,-118.768471,65,Yes    ,Yes              ,1,Offer C,3,Yes            ,Yes           ,0.0,0,474.7600000000001,2644.51,75,Medium,7,0,7,NotResolved
9282-IZGQK,Female,0,No     ,No        ,1,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,85.0,California,Irvine                ,33.643095,-117.810896,51,No     ,No               ,0,Offer E,30,Yes            ,Yes           ,0.0,0,30.52,115.52,80,Medium,8,1,9,Resolved
7860-KSUGX,Male  ,0,Yes    ,Yes       ,72,Yes         ,Yes             ,DSL            ,No                 ,No                 ,No                 ,Two year      ,No              ,Credit card (automatic)  ,64.45,California,Long Beach            ,33.802664,-118.179971,25,Yes    ,Yes              ,1,Offer A,48,No             ,Yes           ,0.0,0,2352.24,7072.24,74,Medium,7,1,8,Resolved
7627-JKIAZ,Female,0,Yes    ,No        ,37,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,78.95,California,San Jose              ,37.350284,-121.852855,62,Yes    ,No               ,0,None   ,29,No             ,Yes           ,0.0,0,1387.13,4226.780000000001,90,Medium,9,0,9,Resolved
0394-YONDK,Male  ,0,Yes    ,Yes       ,70,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Credit card (automatic)  ,25.15,California,Escondido             ,33.081478,-117.033814,28,Yes    ,No               ,0,None   ,0,No             ,No            ,0.0,0,85.39999999999999,1875.55,39,Medium,0,4,4,Resolved
7639-LIAYI,Male  ,0,No     ,No        ,52,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,79.75,California,Los Angeles           ,34.061918,-118.277939,23,No     ,No               ,0,Offer B,73,Yes            ,Yes           ,0.0,0,1516.32,5734.12,49,High,1,5,6,Resolved
5882-CMAZQ,Female,0,Yes    ,Yes       ,5,No          ,No phone service,DSL            ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,34.25,California,National City         ,32.67102,-117.095235,52,Yes    ,Yes              ,9,None   ,19,No             ,Yes           ,0.0,0,0.0,163.55,21,High,0,3,3,Resolved
0374-IOEGQ,Female,0,No     ,No        ,3,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,44.6,California,Gonzales              ,36.52588,-121.396719,62,No     ,No               ,0,None   ,27,No             ,Yes           ,0.0,0,46.77,169.47,74,High,7,1,8,Resolved
5656-MJEFC,Male  ,0,Yes    ,Yes       ,42,No          ,No phone service,DSL            ,Yes                ,Yes                ,No                 ,Two year      ,No              ,Credit card (automatic)  ,48.15,California,Victorville           ,34.486835,-117.362274,48,Yes    ,Yes              ,10,Offer B,8,No             ,Yes           ,0.0,0,0.0,2032.3,25,High,0,3,3,Resolved
8444-WRIDW,Female,1,No     ,No        ,66,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,80.45,California,Thousand Oaks         ,34.191842,-118.822796,72,No     ,No               ,0,None   ,24,No             ,No            ,0.0,140,3008.94,8373.29,79,Low,7,0,7,NotResolved
6419-ZTTLE,Male  ,1,Yes    ,No        ,23,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,Yes             ,Electronic check         ,20.75,California,Yountville            ,38.421458,-122.365048,69,Yes    ,Yes              ,2,None   ,0,No             ,No            ,37.64,0,1054.09,1501.65,45,High,0,5,5,Resolved
4566-GOLUK,Male  ,0,Yes    ,Yes       ,47,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),107.35,California,Rosemead              ,34.065108,-118.082791,43,Yes    ,Yes              ,1,None   ,7,Yes            ,Yes           ,0.0,0,1773.7800000000002,6892.73,91,Low,9,1,10,Resolved
9578-FOMUK,Male  ,0,No     ,Yes       ,15,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Electronic check         ,24.8,California,Santa Clara           ,37.393554,-121.965114,53,No     ,No               ,0,None   ,0,No             ,No            ,12.8,0,488.1,799.4499999999999,57,Medium,0,6,6,Resolved
3870-MQAMG,Female,0,Yes    ,No        ,54,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,One year      ,No              ,Electronic check         ,110.35,California,Camp Nelson           ,36.057458,-118.591951,21,Yes    ,Yes              ,1,Offer B,71,Yes            ,Yes           ,0.0,0,117.72,6010.87,90,Low,9,0,9,Resolved
0897-FEGMU,Female,0,Yes    ,No        ,11,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,99.5,California,Los Angeles           ,34.072945,-118.37267,43,Yes    ,Yes              ,1,Offer D,26,Yes            ,Yes           ,0.0,0,341.88,1398.83,84,Medium,8,1,9,Resolved
4192-GORJT,Male  ,0,Yes    ,No        ,5,Yes         ,No              ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,94.45,California,Fremont               ,37.555473,-122.080312,43,Yes    ,Yes              ,1,None   ,24,Yes            ,Yes           ,0.0,0,196.8,694.9000000000001,77,Low,7,1,8,Resolved
6892-XPFPU,Male  ,1,Yes    ,No        ,24,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,104.25,California,Pasadena              ,34.159007,-118.087353,70,Yes    ,Yes              ,3,Offer C,11,Yes            ,Yes           ,0.0,0,1194.24,3628.14,80,Low,8,1,9,Resolved
8166-ZZTFS,Female,1,Yes    ,No        ,66,Yes         ,Yes             ,DSL            ,No                 ,Yes                ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),80.55,California,Roseville             ,38.736685,-121.251984,74,Yes    ,Yes              ,1,None   ,3,No             ,Yes           ,0.0,0,1432.2,6697.3,94,Medium,9,1,10,Resolved
3247-MHJKM,Male  ,0,No     ,No        ,1,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Mailed check             ,20.2,California,Upland                ,34.141146,-117.655583,27,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,42.15,62.35,72,Medium,7,0,7,Resolved
7353-YOWFP,Female,0,No     ,No        ,7,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Mailed check             ,20.25,California,Brookdale             ,37.106902,-122.100006,41,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,277.13,406.28,54,High,1,6,7,Resolved
5832-XKAES,Male  ,0,No     ,No        ,2,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,69.8,California,Sierraville           ,39.559709,-120.345639,56,No     ,No               ,0,Offer E,27,No             ,Yes           ,0.0,0,75.44,210.14,74,Low,7,1,8,Resolved
3315-IKYZQ,Male  ,0,Yes    ,Yes       ,28,No          ,No phone service,DSL            ,Yes                ,Yes                ,No                 ,One year      ,No              ,Mailed check             ,50.8,California,Los Angeles           ,34.051809,-118.383843,42,Yes    ,Yes              ,2,Offer C,19,No             ,Yes           ,0.0,0,0.0,1386.8,45,High,0,5,5,Resolved
6284-AHOOQ,Male  ,1,No     ,No        ,22,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),90.5,California,Avenal                ,35.916943,-120.129921,71,No     ,No               ,0,None   ,27,No             ,Yes           ,0.0,0,1014.42,2925.02,71,Low,7,1,8,NotResolved
9076-AXYIK,Male  ,1,Yes    ,No        ,64,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Electronic check         ,102.1,California,Nipton                ,35.478736,-115.516984,66,Yes    ,Yes              ,2,None   ,8,Yes            ,Yes           ,0.0,0,1292.16,7830.61,28,High,0,3,3,Resolved
5708-EVONK,Female,0,Yes    ,Yes       ,58,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),93.4,California,Cassel                ,40.936285,-121.572692,37,Yes    ,Yes              ,1,None   ,20,Yes            ,Yes           ,0.0,0,211.7,5647.3,73,Low,7,1,8,Resolved
1635-HDGFT,Female,0,No     ,Yes       ,19,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.5,California,Manton                ,40.426679,-121.850421,29,No     ,No               ,0,Offer D,0,No             ,No            ,24.07,0,673.5500000000001,1048.0300000000002,69,High,6,0,6,NotResolved
0224-RLWWD,Female,1,No     ,No        ,2,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,44.3,California,Calexico              ,32.690654,-115.431225,73,No     ,No               ,0,Offer E,22,No             ,Yes           ,0.0,0,47.82,137.12,44,Medium,0,5,5,Resolved
1025-FALIX,Female,0,No     ,No        ,26,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,69.05,California,Nicolaus              ,38.788898,-121.608624,49,No     ,No               ,0,None   ,30,No             ,Yes           ,0.0,0,975.26,2790.91,23,Medium,1,3,4,NotResolved
4280-DLSHD,Male  ,0,Yes    ,No        ,8,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Mailed check             ,54.75,California,San Bernardino        ,34.122501,-117.320138,36,Yes    ,Yes              ,10,Offer E,8,No             ,Yes           ,0.0,0,152.0,597.85,47,Medium,1,5,6,Resolved
9695-IDRZR,Female,0,No     ,Yes       ,34,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,116.15,California,Greenville            ,40.160386,-120.835428,26,No     ,No               ,0,None   ,51,Yes            ,Yes           ,0.0,0,933.98,4880.88,46,High,0,5,5,Resolved
1024-VRZHF,Male  ,0,Yes    ,No        ,11,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,74.95,California,Encinitas             ,33.054579,-117.25665,39,Yes    ,Yes              ,1,Offer D,30,No             ,Yes           ,0.0,0,237.38,1063.08,70,Low,7,1,8,Resolved
8220-OCUFY,Female,0,No     ,No        ,21,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,One year      ,Yes             ,Electronic check         ,60.25,California,Perris                ,33.828289,-117.201666,30,No     ,No               ,0,None   ,51,No             ,Yes           ,0.0,0,155.61,1413.96,25,High,1,3,4,Resolved
